id,Umur,Premi,Lama_Berlangganan
1,30.0,28029.0,97.0
2,48.0,25800.0,158.0
4,58.0,2630.0,63.0
6,21.0,22735.0,171.0
9,20.0,30786.0,31.0
11,25.0,34212.0,282.0
15,66.0,38616.0,281.0
16,31.0,2630.0,132.0
17,24.0,27285.0,215.0
18,22.0,38289.0,225.0
19,24.0,23157.0,43.0
20,52.0,2630.0,11.0
21,26.0,27319.0,230.0
22,46.0,27834.0,140.0
26,24.0,28419.0,94.0
28,29.0,32830.0,92.0
29,21.0,32976.0,38.0
32,58.0,37385.0,50.0
33,21.0,28559.0,241.0
34,27.0,26881.0,240.0
35,34.0,2630.0,214.0
38,44.0,2630.0,170.0
39,48.0,39375.0,183.0
41,27.0,2630.0,69.0
46,20.0,2630.0,168.0
48,44.0,24256.0,113.0
49,23.0,40381.0,102.0
50,35.0,24911.0,235.0
51,53.0,2630.0,93.0
52,26.0,19167.0,48.0
54,21.0,33877.0,12.0
55,58.0,26289.0,196.0
57,24.0,27154.0,221.0
58,71.0,43128.0,171.0
60,46.0,2630.0,210.0
61,21.0,45459.0,155.0
63,22.0,2630.0,269.0
64,57.0,2630.0,247.0
65,23.0,31095.0,189.0
66,48.0,34101.0,225.0
69,27.0,38737.0,153.0
71,26.0,27021.0,248.0
72,39.0,2630.0,173.0
74,37.0,54295.0,75.0
75,35.0,27249.0,241.0
76,41.0,29724.0,110.0
77,27.0,25275.0,98.0
78,44.0,31976.0,272.0
80,26.0,28727.0,299.0
81,21.0,29265.0,153.0
83,29.0,33191.0,225.0
87,22.0,22381.0,36.0
89,71.0,49594.0,191.0
90,27.0,2630.0,79.0
91,57.0,38061.0,298.0
92,45.0,34033.0,226.0
93,39.0,22289.0,242.0
94,44.0,40409.0,284.0
102,38.0,38487.0,90.0
103,29.0,22754.0,276.0
105,48.0,2630.0,54.0
107,24.0,45880.0,105.0
109,41.0,2630.0,254.0
110,52.0,27268.0,164.0
111,41.0,29047.0,267.0
112,67.0,30592.0,263.0
114,24.0,41288.0,224.0
116,50.0,2630.0,138.0
117,68.0,25349.0,63.0
118,27.0,26959.0,175.0
120,42.0,38711.0,260.0
121,41.0,32661.0,50.0
122,22.0,26306.0,13.0
