id,Premi,Lama_Berlangganan
1,28029.0,97.0
2,25800.0,158.0
4,2630.0,63.0
6,22735.0,171.0
9,30786.0,31.0
11,34212.0,282.0
15,38616.0,281.0
16,2630.0,132.0
17,27285.0,215.0
18,38289.0,225.0
19,23157.0,43.0
20,2630.0,11.0
21,27319.0,230.0
22,27834.0,140.0
26,28419.0,94.0
28,32830.0,92.0
29,32976.0,38.0
32,37385.0,50.0
33,28559.0,241.0
34,26881.0,240.0
35,2630.0,214.0
38,2630.0,170.0
39,39375.0,183.0
41,2630.0,69.0
46,2630.0,168.0
48,24256.0,113.0
49,40381.0,102.0
50,24911.0,235.0
51,2630.0,93.0
52,19167.0,48.0
54,33877.0,12.0
55,26289.0,196.0
57,27154.0,221.0
58,43128.0,171.0
60,2630.0,210.0
61,45459.0,155.0
63,2630.0,269.0
64,2630.0,247.0
65,31095.0,189.0
66,34101.0,225.0
69,38737.0,153.0
71,27021.0,248.0
72,2630.0,173.0
74,54295.0,75.0
75,27249.0,241.0
76,29724.0,110.0
77,25275.0,98.0
78,31976.0,272.0
80,28727.0,299.0
81,29265.0,153.0
83,33191.0,225.0
87,22381.0,36.0
89,49594.0,191.0
90,2630.0,79.0
91,38061.0,298.0
92,34033.0,226.0
93,22289.0,242.0
94,40409.0,284.0
102,38487.0,90.0
103,22754.0,276.0
105,2630.0,54.0
107,45880.0,105.0
109,2630.0,254.0
110,27268.0,164.0
111,29047.0,267.0
112,30592.0,263.0
114,41288.0,224.0
116,2630.0,138.0
117,25349.0,63.0
118,26959.0,175.0
120,38711.0,260.0
121,32661.0,50.0
122,26306.0,13.0
123,44172.0,299.0
124,44019.0,44.0
127,49524.0,249.0
129,28411.0,117.0
130,46466.0,222.0
133,45919.0,33.0
134,27847.0,224.0
135,40374.0,133.0
137,25937.0,102.0
139,43289.0,50.0
140,2630.0,135.0
141,2630.0,73.0
144,15143.0,63.0
145,32175.0,129.0
147,28325.0,236.0
151,35035.0,94.0
153,32608.0,205.0
154,29955.0,275.0
157,2630.0,266.0
159,36971.0,99.0
160,33917.0,172.0
162,25772.0,269.0
168,25782.0,187.0
169,26815.0,200.0
171,2630.0,249.0
175,2630.0,208.0
176,46473.0,134.0
